url,parent,title,sku,price
/product/smartfon-apple-iphone-11-novaja-komplektatsija-128gb-chernyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 128Gb Черный,0101-7387,58990
/product/smartfon-apple-iphone-11-new-64gb-chernyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 64Gb Черный,0101-7381,51990
/product/smartfon-apple-iphone-11-new-128gb-fioletovyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 128Gb Фиолетовый,0101-7391,58990
/product/smartfon-apple-iphone-11-new-64gb-fioletovyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 64Gb Фиолетовый,0101-7385,51990
/product/smartfon-apple-iphone-13-pro-1tb-grafitovyj,/catalog/smartfony/apple,Смартфон Apple iPhone 13 Pro 1Tb Графитовый,0101-7782,169990
/product/smartfon-apple-iphone-11-new-128gb-belyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 128Gb Белый,0101-7388,58990
/product/smartfon-apple-iphone-13-pro-1tb-zolotoj,/catalog/smartfony/apple,Смартфон Apple iPhone 13 Pro 1Tb Золотой,0101-7783,169990
/product/smartfon-apple-iphone-11-new-64gb-belyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 64Gb Белый,0101-7382,51990
/product/smartfon-apple-iphone-11-new-128gb-zelenyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 128Gb Зеленый,0101-7392,58990
/product/smartfon-apple-iphone-12-128gb-chjernyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 128Gb Чёрный,0101-7337,68990
/product/smartfon-apple-iphone-12-pro-128gb-tikhookeanskij-sinij,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Pro 128Gb «Тихоокеанский синий»,0101-7310,92990
/product/smartfon-apple-iphone-xr-new-64gb-black-chernyj,/catalog/smartfony/apple,Смартфон Apple iPhone XR (новая комплектация) 64Gb Black (Черный),0101-7369,42490
/product/smartfon-apple-iphone-se-2020-new-64gb-black,/catalog/smartfony/apple,Смартфон Apple iPhone SE 2020 (новая комплектация) 64Gb Black,0101-7399,36990
/product/smartfon-apple-iphone-12-128gb-fioletovyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 128Gb Фиолетовый,0101-7588,68990
/product/smartfon-apple-iphone-11-new-64gb-zelenyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 64Gb Зеленый,0101-7386,51990
/product/smartfon-apple-iphone-11-new-128gb-krasnyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 128Gb Красный,0101-7389,58990
/product/smartfon-apple-iphone-12-mini-128gb-chernyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Mini 128Gb Черный,0101-7352,61490
/product/smartfon-apple-iphone-11-new-64gb-krasnyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 64Gb Красный,0101-7383,51990
/product/smartfon-apple-iphone-xr-new-128gb-black-chernyj,/catalog/smartfony/apple,Смартфон Apple iPhone XR (новая комплектация) 128Gb Black (Черный),0101-7375,46990
/product/smartfon-apple-iphone-12-128gb-sinij,/catalog/smartfony/apple,Смартфон Apple iPhone 12 128Gb Синий,0101-7341,68990
/product/smartfon-apple-iphone-12-64gb-chjernyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 64Gb Чёрный,0101-7333,64990
/product/smartfon-apple-iphone-se-2020-new-64gb-red,/catalog/smartfony/apple,Смартфон Apple iPhone SE 2020 (новая комплектация) 64Gb Red,0101-7362,36990
/product/smartfon-apple-iphone-11-new-128gb-zheltyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 128Gb Желтый,0101-7390,58990
/product/smartfon-apple-iphone-12-128gb-belyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 128Gb Белый,0101-7338,68990
/product/smartfon-apple-iphone-12-128gb-zelenyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 128Gb Зеленый,0101-7339,68990
/product/smartfon-apple-iphone-12-mini-64gb-chernyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Mini 64Gb Черный,0101-7347,55990
/product/smartfon-apple-iphone-xr-new-64gb-red-krasnyj,/catalog/smartfony/apple,Смартфон Apple iPhone XR (новая комплектация) 64Gb Red (Красный),0101-7372,42490
/product/smartfon-apple-iphone-12-64gb-sinij,/catalog/smartfony/apple,Смартфон Apple iPhone 12 64Gb Синий,0101-7336,64990
/product/smartfon-apple-iphone-12-128gb-product-red,/catalog/smartfony/apple,Смартфон Apple iPhone 12 128Gb (PRODUCT)Red,0101-7340,68990
/product/smartfon-apple-iphone-12-mini-128gb-sinij,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Mini 128Gb Синий,0101-7302,61490
/product/smartfon-apple-iphone-xr-new-128gb-white-belyj,/catalog/smartfony/apple,Смартфон Apple iPhone XR (новая комплектация) 128Gb White (Белый),0101-7376,46990
/product/smartfon-apple-iphone-12-64gb-product-red,/catalog/smartfony/apple,Смартфон Apple iPhone 12 64Gb (PRODUCT)Red,0101-7335,64990
/product/smartfon-apple-iphone-12-64gb-fioletovyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 64Gb Фиолетовый,0101-7587,64990
/product/smartfon-apple-iphone-se-2020-new-128gb-black,/catalog/smartfony/apple,Смартфон Apple iPhone SE 2020 (новая комплектация) 128Gb Black,0101-7363,41990
/product/smartfon-apple-iphone-12-256gb-fioletovyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 256Gb Фиолетовый,0101-7586,79990
/product/smartfon-apple-iphone-11-new-64gb-zheltyj,/catalog/smartfony/apple,Смартфон Apple iPhone 11 (новая комплектация) 64Gb Желтый,0101-7384,51990
/product/smartfon-apple-iphone-12-mini-128gb-fioletovyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Mini 128Gb Фиолетовый,0101-7591,61490
/product/smartfon-apple-iphone-12-256gb-chjernyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 256Gb Чёрный,0101-7342,79990
/product/smartfon-apple-iphone-se-2020-new-64gb-white,/catalog/smartfony/apple,Смартфон Apple iPhone SE 2020 (новая комплектация) 64Gb White,0101-7361,36990
/product/smartfon-apple-iphone-12-mini-128gb-belyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Mini 128Gb Белый,0101-7353,61490
/product/smartfon-apple-iphone-12-mini-128gb-product-red,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Mini 128Gb (PRODUCT)RED,0101-7355,61490
/product/smartfon-apple-iphone-12-pro-256gb-serebristyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Pro 256Gb Серебристый,0101-7318,101990
/product/smartfon-apple-iphone-12-mini-64gb-product-red,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Mini 64Gb (PRODUCT)RED,0101-7350,55990
/product/smartfon-apple-iphone-xr-new-128gb-red-krasnyj,/catalog/smartfony/apple,Смартфон Apple iPhone XR (новая комплектация) 128Gb Red (Красный),0101-7378,46990
/product/smartfon-apple-iphone-12-64gb-belyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 64Gb Белый,0101-7332,64990
/product/smartfon-apple-iphone-12-256gb-sinij,/catalog/smartfony/apple,Смартфон Apple iPhone 12 256Gb Синий,0101-7346,79990
/product/smartfon-apple-iphone-12-256gb-belyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 256Gb Белый,0101-7343,79990
/product/smartfon-apple-iphone-12-mini-64gb-fioletovyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Mini 64Gb Фиолетовый,0101-7590,55990
/product/smartfon-apple-iphone-12-mini-128gb-zelenyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Mini 128Gb Зеленый,0101-7354,61490
/product/smartfon-apple-iphone-12-mini-256gb-chernyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 Mini 256Gb Черный,0101-7303,69990
/product/smartfon-apple-iphone-12-64gb-zelenyj,/catalog/smartfony/apple,Смартфон Apple iPhone 12 64Gb Зеленый,0101-7334,64990
